taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit,wcvp_accepted_name,taxonomic_rank,wcvp_url,source
Brownea macrophylla-BROWMA,8170495,Brownea macrophylla,Freestanding,Brownea macrophylla,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:482431-1,wcvp
Browneopsis,2944236,Browneopsis,,Browneopsis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296080-2,wcvp
Bruceholstia,11609897,Bruceholstia,,Bruceholstia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77206436-1,wcvp
Brugmansia,2928883,Brugmansia,,Brugmansia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:38303-1,wcvp
Brunellia,2986074,Brunellia,,Brunellia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:38171-1,wcvp
Brunelliaceae,6670,Brunelliaceae,,Brunelliaceae,family,,wcvp
Brunfelsia,2932910,Brunfelsia,,Brunfelsia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328954-2,wcvp
Buddleja,3173330,Buddleja,,Buddleja,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:25036-1,wcvp
Bunchosia,7404976,Bunchosia,,Bunchosia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:25644-1,wcvp
Bunchosia nitida-BUNCCO-BUNC,3191335,Bunchosia nitida,Freestanding,Bunchosia nitida,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1122895-2,wcvp
Bursera,3190446,Bursera,,Bursera,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331438-2,wcvp
Bursera simaruba-BURSSI-BURS,3190450,Bursera simaruba,Freestanding,Bursera simaruba,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:127217-1,wcvp
Burseraceae,6659,Burseraceae,,Burseraceae,family,,wcvp
Buxaceae,6703,Buxaceae,,Buxaceae,family,,wcvp
Buxus,2984666,Buxus,,Buxus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:15130-1,wcvp
Byrsonima,3191347,Byrsonima,,Byrsonima,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30006786-2,wcvp
Byrsonima crassifolia-BYRSCR-BYRC,3191361,Byrsonima crassifolia,Freestanding,Byrsonima crassifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:556033-1,wcvp
Byrsonima spicata-BYRSSP-BYRS,3191348,Byrsonima spicata,Freestanding,Byrsonima spicata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:556192-1,wcvp
Byttneria,7445609,Byttneria,,Ayenia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328234-2,wcvp
Cactaceae,2519,Cactaceae,,Cactaceae,family,,wcvp
Caesalpinia,2958443,Caesalpinia,,Caesalpinia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30003203-2,wcvp
Caesalpinia pulcherrima-CAESPU,2958715,Caesalpinia pulcherrima,Freestanding,Caesalpinia pulcherrima,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1164658-2,wcvp
Cajanus,2960263,Cajanus,,Cajanus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331442-2,wcvp
Cajanus cajan-CAJACA,7587087,Cajanus cajan,Freestanding,Cajanus cajan,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1152177-2,wcvp
Calatola,7314407,Calatola,,Calatola,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:297728-2,wcvp
Calliandra,2981784,Calliandra,,Calliandra,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331445-2,wcvp
Callianthe,8207961,Callianthe,,Callianthe,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77130187-1,wcvp
Callicarpa,2925549,Callicarpa,,Callicarpa,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30044566-2,wcvp
Callichlamys,3233574,Callichlamys,,Callichlamys,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:4011-1,wcvp
Callichlamys latifolia-CAL5LA-CAL1,8338389,Callichlamys latifolia,Climbing,Callichlamys latifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42392-2,wcvp
Calophyllaceae,4907584,Calophyllaceae,,Calophyllaceae,family,,wcvp
Calophyllum,3189443,Calophyllum,,Calophyllum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19322-1,wcvp
