class_index,class_name,train,val,test,support,precision,recall,f1,accuracy
90,Quararibea asterolepis-QUARAS-QUA1,48.0,16.0,16.0,48,0.0,0.0,0.0,0.0
91,Quararibea pterocalyx-QUARPT-QUAP,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
93,Sapium glandulosum-SAPIAU-SAPG,48.0,16.0,16.0,48,0.0,0.0,0.0,0.0
94,Schizolobium parahyba-SCHIPA-SCHP,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
96,Sloanea terniflora-SLOATE-SLOT,128.0,16.0,32.0,96,0.0,0.0,0.0,0.0
97,Socratea exorrhiza-SOCREX-SOCE,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
101,Symphonia globulifera-SYMPGL-SYMG,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
107,Tocoyena pittieri-TOCOPI-TOCP,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
111,Trichospermum galeottii-TRI4GA-TRI6,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
113,Virola fosteri-VIROSP-VIR3,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
117,Vochysia ferruginea-VOCHFE-VOCF,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
119,Zanthoxylum panamense-ZANTP1-ZAN1,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
