col,row,name,date,p5,tag,dbh,code,comments
29,29,AAV,17-11-05,22,22470,304,,
29,29,AAV,17-11-05,22,22470,74,,
29,29,AAV,17-11-05,44,22474,731,,
29,29,AAV,17-11-05,44,22474,342,,
30,27,RNR,16-11-05,24,39348,342,,
30,27,RNR,16-11-05,24,39348,88,,
31,26,RNR,16-11-05,24,39380,800,,Medido a 2.00
31,26,RNR,16-11-05,24,39380,590,,
31,27,RNR,16-11-05,31,39390,552,,
31,27,RNR,16-11-05,31,39390,99,,
31,27,RNR,16-11-05,31,39390,28,,
31,27,RNR,16-11-05,31,39390,25,,
31,27,RNR,16-11-05,31,39390,13,,
31,28,RNR,16-11-05,34,39397,294,,Medido a 1.90
31,28,RNR,16-11-05,34,39397,262,,
31,28,RNR,16-11-05,34,39397,165,,
31,28,RNR,16-11-05,34,39397,154,,
31,28,RNR,16-11-05,34,39397,112,,
31,28,RNR,16-11-05,34,39397,127,,
31,28,RNR,16-11-05,34,39397,57,,
32,25,OL,16-11-05,22,297664,369,,
32,25,OL,16-11-05,22,297664,135,,
32,26,OL,16-11-05,24,39885,527,,
32,26,OL,16-11-05,24,39885,17,,
32,27,OL,16-11-05,13,24811,658,,
32,27,OL,16-11-05,13,24811,21,,
32,27,OL,16-11-05,13,24811,15,,
32,27,OL,16-11-05,13,24811,15,,
32,27,OL,16-11-05,13,24811,14,,
32,27,OL,16-11-05,13,24811,10,,
33,26,OL,16-11-05,32,39873,224,,
33,26,OL,16-11-05,32,39873,218,,
34,25,FAG,09-11-05,33,39168,252,,
34,25,FAG,09-11-05,33,39168,66,,
34,26,FAG,09-11-05,11,39172,375,,
34,26,FAG,09-11-05,11,39172,80,,
34,26,FAG,09-11-05,11,39172,64,,
34,26,FAG,09-11-05,31,39176,225,,
34,26,FAG,09-11-05,31,39176,85,,
34,26,FAG,09-11-05,31,39176,60,,
36,25,RNR,09-11-05,11,39301,242,,
36,25,RNR,09-11-05,11,39301,230,,
36,25,RNR,09-11-05,31,39303,234,,Medido a 1.80
36,25,RNR,09-11-05,31,39303,12,,
36,26,RNR,09-11-05,24,39307,454,,
36,26,RNR,09-11-05,24,39307,46,,
36,26,RNR,09-11-05,24,39307,40,,
36,28,RNR,10-11-05,42,19597,214,,
36,28,RNR,10-11-05,42,19597,35,,
36,28,RNR,10-11-05,42,19597,29,,
36,28,RNR,10-11-05,42,19597,19,,
36,28,RNR,10-11-05,42,19597,15,,
36,28,RNR,10-11-05,42,19597,13,,
36,28,RNR,10-11-05,42,19597,12,,
36,29,RNR,10-11-05,23,19077,634,,
36,29,RNR,10-11-05,23,19077,33,,
37,25,RNR,10-11-05,13,39316,227,,
37,25,RNR,10-11-05,13,39316,41,,
37,25,RNR,10-11-05,13,39316,52,,
37,25,RNR,10-11-05,13,39316,18,,
37,25,RNR,10-11-05,13,39316,10,,
37,25,RNR,10-11-05,13,39316,73,,
37,28,RNR,16-11-05,44,19126,343,,Medido a 2.10
37,28,RNR,16-11-05,44,19126,272,,
37,28,RNR,16-11-05,42,19954,348,,
37,28,RNR,16-11-05,42,19954,44,,
37,29,RNR,16-11-05,21,19603,538,,
37,29,RNR,16-11-05,21,19603,25,,
37,29,RNR,16-11-05,21,19603,12,,
38,25,OL,10-11-05,34,39752,300,,
38,25,OL,10-11-05,34,39752,49,,
39,27,OL,14-11-05,21,39787,297,,
39,27,OL,14-11-05,21,39787,35,,
39,27,OL,14-11-05,21,39787,22,,
39,28,OL,14-11-05,31,24869,530,,
39,28,OL,14-11-05,31,24869,13,,
39,28,OL,14-11-05,31,24869,12,,
39,28,OL,14-11-05,31,24869,10,,
40,27,FAG,16-11-05,24,24872,514,,
40,27,FAG,16-11-05,24,24872,352,,
40,27,FAG,16-11-05,43,39216,918,,
40,27,FAG,16-11-05,43,39216,33,,
40,29,FAG,16-11-05,32,24880,453,,
40,29,FAG,16-11-05,32,24880,46,,
40,29,FAG,16-11-05,32,24880,45,,
40,29,FAG,16-11-05,32,24880,33,,
40,29,FAG,16-11-05,32,24880,17,,
40,29,FAG,16-11-05,41,24890,236,,
40,29,FAG,16-11-05,41,24890,41,,
40,29,FAG,16-11-05,41,24890,28,,
40,29,FAG,16-11-05,41,24890,27,,
40,29,FAG,16-11-05,41,24890,19,,
41,26,FAG,16-11-05,41,39229,830,,
41,26,FAG,16-11-05,41,39229,33,,
41,26,FAG,16-11-05,41,39229,29,,
41,26,FAG,16-11-05,41,39229,28,,
41,26,FAG,16-11-05,41,39229,11,,
41,29,FAG,17-11-05,31,24895,292,,
41,29,FAG,17-11-05,31,24895,47,,
41,29,FAG,17-11-05,31,24895,39,,
41,29,FAG,17-11-05,43,39236,258,,
41,29,FAG,17-11-05,43,39236,14,,
42,25,AAV,14-11-05,34,38327,283,,Medido a 1.60
42,25,AAV,14-11-05,34,38327,38,,
42,25,AAV,14-11-05,34,38327,19,,
42,25,AAV,14-11-05,44,38328,672,,
42,25,AAV,14-11-05,44,38328,99,,
42,27,AAV,14-11-05,32,38341,406,,Medido a 1.60
42,27,AAV,14-11-05,32,38341,77,,
42,27,AAV,14-11-05,32,38341,55,,
44,27,OL,15-11-05,43,39806,233,,Medido a 1.70
44,27,OL,15-11-05,43,39806,38,,
44,27,OL,15-11-05,43,39806,35,,
44,27,OL,15-11-05,43,39806,13,,
44,27,OL,15-11-05,43,39806,10,,
44,27,OL,15-11-05,43,39806,23,,
44,27,OL,15-11-05,43,39806,13,,
44,27,OL,15-11-05,43,39806,11,,
44,27,OL,15-11-05,43,39806,13,,
44,27,OL,15-11-05,43,39806,15,,
45,26,OL,15-11-05,31,39836,457,,
45,26,OL,15-11-05,31,39836,26,,
45,26,OL,15-11-05,31,39836,18,,
45,27,OL,15-11-05,31,39844,483,,
45,27,OL,15-11-05,31,39844,18,,
45,28,OL,15-11-05,11,39849,302,,
45,28,OL,15-11-05,11,39849,18,,
45,28,OL,15-11-05,24,39852,215,,
45,28,OL,15-11-05,24,39852,12,,
45,28,OL,15-11-05,22,39854,227,,
45,28,OL,15-11-05,22,39854,114,,
45,28,OL,15-11-05,22,39854,119,,
45,28,OL,15-11-05,22,39854,132,,
45,28,OL,15-11-05,22,39854,41,,
45,28,OL,15-11-05,32,39856,602,,
45,28,OL,15-11-05,32,39856,62,,
45,28,OL,15-11-05,32,39856,47,,
45,28,OL,15-11-05,32,39856,41,,
45,28,OL,15-11-05,32,39856,33,,
45,28,OL,15-11-05,32,39856,28,,
45,28,OL,15-11-05,32,39856,25,,
45,28,OL,15-11-05,32,39856,22,,
45,28,OL,15-11-05,32,39856,17,,
45,28,OL,15-11-05,32,39856,19,,
45,28,OL,15-11-05,32,39856,14,,
46,25,AAV,15-11-05,42,38395,440,,
46,25,AAV,15-11-05,42,38395,28,,
46,25,AAV,15-11-05,42,38395,19,,
46,25,AAV,15-11-05,42,38395,15,,
46,25,AAV,15-11-05,42,38395,440,,
46,25,AAV,15-11-05,42,38395,28,,
46,25,AAV,15-11-05,42,38395,19,,
46,25,AAV,15-11-05,42,38395,15,,
46,27,AAV,15-11-05,44,38404,382,,
46,27,AAV,15-11-05,44,38404,45,,
46,28,AAV,15-11-05,32,38410,305,,
46,28,AAV,15-11-05,32,38410,29,,
46,28,AAV,15-11-05,32,38410,305,,
46,28,AAV,15-11-05,32,38410,29,,
47,29,AAV,16-11-05,44,38446,514,,
47,29,AAV,16-11-05,44,38446,28,,
