col,row,name,date,p5,tag,dbh,comments,,,,
41,35,BC,11/18/04,31,22063,92,,,,,
41,35,BC,11/18/04,31,22063,95,,,,,
41,35,BC,11/18/04,31,22063,76,,,,,
41,35,BC,11/18/04,31,22063,74,,,,,
41,35,BC,11/18/04,31,22063,81,,,,,
41,35,BC,11/18/04,31,22063,55,,,,,
41,35,BC,11/18/04,32,22066,87,,,,,
41,35,BC,11/18/04,32,22066,94,,,,,
41,35,BC,11/18/04,32,22066,85,,,,,
41,35,BC,11/18/04,32,22066,105,,,,,
41,35,BC,11/18/04,32,22066,86,,,,,
41,35,BC,11/18/04,32,22066,88,,,,,
41,36,BC,11/18/04,12,22068,143,,,,,
41,36,BC,11/18/04,12,22068,131,,,,,
41,37,AC,11/18/04,44,22108,111,,,,,
41,37,AC,11/18/04,44,22108,90,,,,,
41,37,AC,11/18/04,44,22108,90,,,,,
41,37,AC,11/18/04,44,22108,85,,,,,
41,37,AC,11/18/04,43,22109,112,,,,,
41,37,AC,11/18/04,43,22109,75,,,,,
41,37,AC,11/18/04,43,22109,90,,,,,
41,37,AC,11/18/04,43,22101,100,,,,,
41,37,AC,11/18/04,43,22101,85,,,,,
41,37,AC,11/18/04,43,22101,90,,,,,
41,37,AC,11/18/04,43,22101,71,,,,,
41,37,AC,11/18/04,43,22101,88,,,,,
41,39,AC,11/22/04,31,22122,112,,,,,
41,39,AC,11/22/04,31,22122,69,,,,,
41,40,AC,11/22/04,11,22153,72,,,,,
41,40,AC,11/22/04,11,22153,65,,,,,
41,40,AC,11/22/04,11,22153,62,,,,,
41,40,AC,11/22/04,14,22156,172,,,,,
41,40,AC,11/22/04,14,22156,70,,,,,
41,41,AC,11/22/04,13,22172,92,,,,,
41,41,AC,11/22/04,13,22172,99,,,,,
41,41,AC,11/22/04,23,22174,92,,,,,
41,41,AC,11/22/04,23,22174,95,,,,,
41,41,AC,11/22/04,41,22181,189,,,,,
41,41,AC,11/22/04,41,22181,165,,,,,
41,42,AC,11/22/04,24,22186,94,,,,,
41,42,AC,11/22/04,24,22186,88,,,,,
41,42,AC,11/22/04,24,22186,86,,,,,
41,42,AC,11/22/04,23,22189,360,,,,,
41,42,AC,11/22/04,23,22189,63,,,,,
41,42,AC,11/22/04,23,22189,43,,,,,
41,43,AC,11/23/04,32,22194,120,,,,,
41,43,AC,11/23/04,32,22194,112,,,,,
41,43,AC,11/23/04,32,22194,112,,,,,
